Value,MSE,PSNR,Time(ms)
2,7480.58, 9.39145,55.541
4,5055.61, 11.0931,55.997
6,4302.11, 11.794,55.692
8,3974.7, 12.1378,55.625
10,3731.2, 12.4123,55.864
12,3600.82, 12.5668,56.062
14,3530.12, 12.6529,53.706
16,3465.12, 12.7336,54.309
18,3395.59, 12.8217,55.381
20,3332.88, 12.9026,53.819
22,3265.91, 12.9908,55.563
24,3264.13, 12.9931,55.126
26,3181.28, 13.1048,55.322
28,3180.45, 13.1059,54.218
30,3179.6, 13.1071,54.072
32,3178.93, 13.108,54.954
34,3108.99, 13.2046,53.529
36,3108.55, 13.2052,57.391
38,3108.21, 13.2057,55.852
40,3107.7, 13.2064,54.607
42,3107.46, 13.2068,53.759
44,3023.79, 13.3253,53.483
46,3023.68, 13.3255,54.258
48,3023.33, 13.3259,55.886
50,3023.39, 13.3259,55.362
52,3023.26, 13.3261,53.160
54,3023.16, 13.3262,55.132
56,3022.91, 13.3265,57.190
58,3022.86, 13.3266,55.502
60,3022.69, 13.3269,55.197
62,3022.6, 13.327,53.404
64,3022.5, 13.3271,58.408
66,2899.4, 13.5077,58.229
68,2899.34, 13.5078,57.195
70,2899.35, 13.5078,54.710
72,2899.25, 13.5079,56.379
74,2899.29, 13.5079,54.459
76,2899.24, 13.508,55.377
78,2899.22, 13.508,56.398
80,2899.05, 13.5082,55.149
82,2899.17, 13.5081,55.427
84,2899.08, 13.5082,55.316
86,2899.14, 13.5081,55.217
88,2899.04, 13.5083,55.348
90,2899.06, 13.5082,54.915
92,2899.01, 13.5083,54.625
94,2899.01, 13.5083,54.743
96,2898.67, 13.5088,55.380
98,0.824372, 48.9696,54.906
100,2898.89, 13.5085,54.961
102,2898.87, 13.5085,54.509
104,2898.8, 13.5086,54.689
106,2898.83, 13.5086,56.363
108,2898.78, 13.5086,56.486
110,2898.78, 13.5087,55.039
112,2898.61, 13.5089,57.178
114,2898.72, 13.5087,54.251
116,2898.67, 13.5088,53.835
118,2898.65, 13.5088,56.511
120,2898.58, 13.5089,55.742
122,2898.61, 13.5089,54.337
124,2898.57, 13.509,54.659
126,2898.56, 13.509,54.808
128,2898.55, 13.509,61.839
130,0.480023, 51.3182,54.342
132,0.475364, 51.3605,54.520
134,0.482036, 51.3,57.353
136,0.460449, 51.499,56.851
138,0.48583, 51.266,56.684
140,0.475124, 51.3627,54.685
142,0.482804, 51.2931,56.168
144,0.434439, 51.7515,54.983
146,0.482127, 51.2992,54.503
148,0.475093, 51.363,53.554
150,0.481682, 51.3032,54.877
152,0.461243, 51.4915,56.605
154,0.486788, 51.2574,56.706
156,0.477406, 51.3419,54.812
158,0.490097, 51.228,55.558
160,0.375429, 52.3855,56.058
162,0.485697, 51.2671,54.665
164,0.471854, 51.3927,54.279
166,0.481909, 51.3012,54.669
168,0.456787, 51.5337,55.608
170,0.475705, 51.3574,54.794
172,0.485697, 51.2671,53.784
174,0.484806, 51.2751,56.473
176,0.438404, 51.7121,55.323
178,0.486929, 51.2561,55.301
180,0.472226, 51.3893,56.229
182,0.481031, 51.3091,54.475
184,0.461622, 51.4879,55.349
186,0.491544, 51.2152,54.233
188,0.472605, 51.3858,55.329
190,0.480997, 51.3094,53.721
192,0.265342, 53.8928,59.907
194,0.47879, 51.3294,53.772
196,0.492749, 51.2045,53.916
198,0.49156, 51.215,54.860
200,0.460768, 51.496,57.554
202,0.479033, 51.3271,55.069
204,0.474005, 51.373,54.748
206,0.485834, 51.2659,55.425
208,0.438555, 51.7106,55.950
210,0.495115, 51.1837,57.063
212,0.477989, 51.3366,57.274
214,0.483989, 51.2824,54.953
216,0.460525, 51.4983,54.346
218,0.485247, 51.2712,55.664
220,0.48056, 51.3133,55.179
222,0.476973, 51.3459,55.152
224,0.375685, 52.3826,56.029
226,0.479417, 51.3237,54.029
228,0.475967, 51.355,54.042
230,0.481383, 51.3059,55.751
232,0.455944, 51.5417,54.390
234,0.487298, 51.2529,54.045
236,0.468725, 51.4216,54.917
238,0.478646, 51.3307,55.141
240,0.425422, 51.8426,58.530
242,0.474625, 51.3673,54.440
244,0.467761, 51.4306,54.519
246,0.484073, 51.2817,55.001
248,0.449282, 51.6056,54.177
250,0.44799, 51.6181,53.083
252,0.432455, 51.7714,56.608
254,0.462406, 51.4806,54.375
256,0, 0,53.973
